STATE,EV Trump R,EV Clinton D,PV Trump R,PV Clinton D,PV others,PV total
AL,9,,1318255,729547,75570,2123372
AK,3,,163387,116454,38767,318608
AZ,11,,1252401,1161167,159597,2573165
AR,6,,684872,380494,65310,1130676
CA,,55,4483814,8753792,943998,14181604
CO,,9,1202484,1338870,238893,2780247
CT,,7,673215,897572,74133,1644920
DE,,3,185127,235603,23084,443814
DC,,3,12723,282830,15715,311268
FL,29,,4617886,4504975,297178,9420039
GA,16,,2089104,1877963,147665,4114732
HI,,3,128847,266891,33199,428937
ID,4,,409055,189765,91435,690255
IL,,20,2146015,3090729,299680,5536424
IN,11,,1557286,1033126,144546,2734958
IA,6,,800983,653669,111379,1566031
KS,6,,671018,427005,86379,1184402
KY,8,,1202971,628854,92324,1924149
LA,8,,1178638,780154,70240,2029032
ME,1,3,335593,357735,54599,747927
MD,,10,943169,1677928,160349,2781446
MA,,11,1090893,1995196,238957,3325046
MI,16,,2279543,2268839,250902,4799284
MN,,10,1322951,1367716,254146,2944813
MS,6,,700714,485131,23512,1209357
MO,10,,1594511,1071068,143026,2808605
MT,3,,279240,177709,40198,497147
NE,5,,495961,284494,63772,844227
NV,,6,512058,539260,74067,1125385
NH,,4,345790,348526,49980,744296
NJ,,14,1601933,2148278,123835,3874046
NM,,5,319667,385234,93418,798319
NY,,29,2819533,4556118,345791,7721442
NC,15,,2362631,2189316,189617,4741564
ND,3,,216794,93758,33808,344360
OH,18,,2841005,2394164,261318,5496487
OK,7,,949136,420375,83481,1452992
OR,,7,782403,1002106,216827,2001336
PA,20,,2970733,2926441,268304,6165478
RI,,4,180543,252525,31076,464144
SC,9,,1155389,855373,92265,2103027
SD,3,,227721,117458,24914,370093
TN,11,,1522925,870695,114407,2508027
TX,36,,4685047,3877868,406311,8969226
UT,6,,515231,310676,305523,1131430
VT,,3,95369,178573,41125,315067
VA,,13,1769443,1981473,233715,3984631
WA,,8,1221747,1742718,352554,3317019
WV,5,,489371,188794,36258,714423
WI,10,,1405284,1382536,188330,2976150
WY,3,,174419,55973,25457,255849
